SampleID,Tissue,Treatment,Replicate,Sex,Age_weeks,Gene,Expression,QC_pass,BatchID
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Atp2a1,0.1518,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Myl1,0.0,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Myf5,0.0,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Myod1,0.0,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Ckm,0.8867,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Tnnc2,0.0,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Tpm2,0.0,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Hspa1a,4.6874,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Hsp90aa1,4.599,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Dnajb1,3.4451,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Jun,3.2103,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Fos,5.6564,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Nfkb1,4.5999,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Il6,5.0607,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Cxcl1,4.0625,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Ccl2,3.81,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Tnf,3.4683,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Ppara,3.2294,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Pparg,5.5113,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Acaca,4.1908,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Fasn,5.3106,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Scd1,4.2031,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Cpt1a,5.0037,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Hadha,3.9792,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Acsl1,,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Pdk4,5.5251,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Lpl,4.3319,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene001,1.271,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene002,4.0466,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene003,3.1433,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene004,4.1286,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene005,3.5291,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene006,0.1101,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene007,1.5695,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene008,1.7825,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene009,4.1759,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene010,3.1007,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene011,3.0093,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene012,4.4084,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene013,2.7595,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene014,2.937,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene015,3.1395,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene016,3.4042,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene017,7.5393,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene018,1.8339,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene019,0.8276,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene020,4.0352,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene021,1.9101,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene022,0.0,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene023,1.4475,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene024,1.8564,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene025,0.1233,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene026,6.0076,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene027,2.1059,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene028,7.2061,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene029,2.7501,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene030,5.497,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene031,3.0653,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene032,3.7393,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene033,2.5868,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene034,2.7628,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene035,3.3817,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene036,4.2111,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene037,3.5387,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene038,3.2798,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene039,2.2126,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene040,3.682,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene041,5.6758,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene042,1.7217,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene043,5.0655,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene044,3.3968,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene045,4.7275,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene046,1.3929,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene047,3.6113,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene048,2.7307,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene049,2.8678,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene050,4.6372,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene051,2.8977,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene052,3.5324,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene053,0.6633,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene054,5.3309,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene055,4.3972,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene056,2.7921,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene057,3.0883,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene058,4.5937,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene059,5.0978,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gene060,5.9476,True,Batch1
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Actb,8.325,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gapdh,7.824,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Rplp0,8.1413,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,B2m,8.334,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Hprt,8.8109,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Pgk1,9.1296,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Sdha,7.1939,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Tbp,7.2585,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Ywhaz,8.9469,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Eif4a2,7.3464,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Snap25,10.6613,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Syp,10.5567,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Map2,12.1069,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gfap,9.2583,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Mbp,11.1818,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Nestin,11.674,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Camk2a,10.7044,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Tubb3,10.1775,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Nefl,11.5487,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Chrna4,10.7874,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Alb,2.7109,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Cyp2e1,2.2217,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Fabp1,1.4377,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,G6pc,2.0235,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Apob,2.2823,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Hmgcr,2.3694,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Tat,1.3072,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Sds,2.3747,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Arg1,2.4055,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Pck1,2.7666,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Myh4,3.0308,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Actn2,1.2758,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Tnni2,2.8252,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Atp2a1,2.4576,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Myl1,0.6632,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Myf5,0.801,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Myod1,2.421,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Ckm,1.7419,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Tnnc2,0.6302,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Tpm2,1.8548,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Hspa1a,6.603,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Hsp90aa1,6.6769,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Dnajb1,6.2126,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Jun,5.9153,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Fos,6.5383,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Nfkb1,6.3372,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Il6,6.1548,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Cxcl1,4.0166,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Ccl2,4.1142,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Tnf,5.6822,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Ppara,5.8314,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Pparg,7.2697,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Acaca,6.3508,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Fasn,5.8225,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Scd1,5.0803,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Cpt1a,5.1821,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Hadha,7.1591,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Acsl1,5.0121,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Pdk4,5.31,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Lpl,5.3459,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene001,6.2109,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene002,3.8782,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene003,4.1469,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene004,4.8147,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene005,5.9391,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene006,4.0428,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene007,6.5014,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene008,6.7869,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene009,4.9079,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene010,8.5496,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene011,5.1521,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene012,6.3607,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene013,5.4918,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene014,5.2209,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene015,1.9938,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene016,3.1863,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene017,5.1414,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene018,6.3704,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene019,5.3994,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene020,4.6291,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene021,5.827,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene022,6.2532,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene023,5.7888,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene024,5.7646,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene025,5.3115,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene026,4.8637,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene027,3.9599,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene028,3.9224,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene029,6.7379,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene030,4.7068,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene031,4.8177,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene032,2.1522,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene033,1.5653,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene034,7.3143,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene035,3.47,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene036,0.3902,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene037,8.7611,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene038,4.3002,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene039,2.5694,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene040,5.1234,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene041,6.2896,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene042,5.796,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene043,6.8354,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene044,3.2785,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene045,6.9463,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene046,6.973,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene047,7.222,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene048,5.8568,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene049,4.175,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene050,4.4629,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene051,2.8426,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene052,4.5362,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene053,1.1726,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene054,2.2224,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene055,5.3177,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene056,4.5722,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene057,5.0025,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene058,6.2591,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene059,5.7445,False,Batch2
Br_Con_M_Rep2,Brain,Control,2,Male,8.4,Gene060,6.0551,False,Batch2
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Actb,6.0643,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Gapdh,5.5136,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Rplp0,5.3111,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,B2m,6.2649,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Hprt,5.9959,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Pgk1,6.8719,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Sdha,5.9243,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Tbp,6.5306,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Ywhaz,5.4555,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Eif4a2,6.0611,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Snap25,8.9154,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Syp,10.6433,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Map2,9.107,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Gfap,6.9252,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Mbp,8.6433,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Nestin,10.3707,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Camk2a,8.0075,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Tubb3,9.8717,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Nefl,8.2968,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Chrna4,10.1615,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Alb,0.0,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Cyp2e1,0.1314,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Fabp1,0.0,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,G6pc,0.336,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Apob,0.7764,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Hmgcr,0.0,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Tat,0.7922,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Sds,0.0,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Arg1,0.0,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Pck1,0.0,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Myh4,0.0,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Actn2,0.7008,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Tnni2,0.267,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Atp2a1,0.0,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Myl1,0.1754,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Myf5,0.3226,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Myod1,0.3618,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Ckm,0.0,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Tnnc2,1.9314,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Tpm2,0.0,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Hspa1a,3.8657,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Hsp90aa1,3.714,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Dnajb1,4.821,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Jun,3.2142,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Fos,5.8937,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Nfkb1,3.8875,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Il6,4.173,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Cxcl1,4.2144,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Ccl2,5.626,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Tnf,5.2032,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Ppara,4.7656,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Pparg,3.558,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Acaca,5.0729,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Fasn,2.8412,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Scd1,3.3754,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Cpt1a,3.623,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Hadha,3.0521,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Acsl1,3.0124,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Pdk4,4.9096,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Lpl,,True,Batch1
Br_Con_M_Rep3,Brain,Control,3,Male,11.1,Gene001,4.5585,True,Batch1
